Project Name,Package Name,Architecture Smell,Cause of the Smell
facebook-integration,com.example.facebook_integration.UnitTests,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GroupServiceTest]; [PostServiceTest]; [TopicServiceTest]; [CategoryServiceTest]; [FriendServiceTest]; [FriendRequestServiceTest]; [JoinRequestServiceTest]; [UserServiceTest]. LCC (Lack of Component Cohesion) = 1.0
facebook-integration,com.example.facebook_integration.UnitTests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.model; com.example.facebook_integration.service.Implementations.
facebook-integration,com.example.facebook_integration.UnitTests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.service.Implementations; com.example.facebook_integration.repository.
facebook-integration,com.example.facebook_integration.UnitTests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.service.Implementations; com.example.facebook_integration.repository; com.example.facebook_integration.model.
facebook-integration,com.example.facebook_integration.UnitTests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.model; com.example.facebook_integration.repository.
facebook-integration,com.example.facebook_integration.IntegrationTests,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FriendReqControllerIntegrationTest]; [FriendReqRepoIntegrationTest]; [PostControllerIntegrationTest]; [UserControllerIntegrationTest]; [JoinRequestControllerIntegrationTest]; [CategoryControllerTest]; [UserRepositoryIntegrationTest]; [FriendControllerTest]. LCC (Lack of Component Cohesion) = 1.0
facebook-integration,com.example.facebook_integration.IntegrationTests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.repository; com.example.facebook_integration.model.
facebook-integration,com.example.facebook_integration.IntegrationTests,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.model; com.example.facebook_integration.service.
facebook-integration,com.example.facebook_integration.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FriendRepository]; [JoinRequestRepository]; [PostRepository]; [CategoryOfDayRepository]; [TopicRepository]; [FriendRequestRepository]; [GroupRepository]; [UserRepository]. LCC (Lack of Component Cohesion) = 1.0
facebook-integration,com.example.facebook_integration.controller,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdminController]; [JoinRequestController]; [FriendController]; [NotificationController]; [FriendRequestController]; [TopicController]; [CategoryController]; [PostController]; [GroupController]; [UserController]. LCC (Lack of Component Cohesion) = 1.0
facebook-integration,com.example.facebook_integration.controller,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.service; com.example.facebook_integration.model.
facebook-integration,com.example.facebook_integration.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Post]; [User; Friend; UserGroup; FriendId; FriendRequest]; [User.Role]; [User.Status]; [CategoryOfDay]; [JoinRequest]; [Topic]. LCC (Lack of Component Cohesion) = 0.64
facebook-integration,com.example.facebook_integration.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserService]; [TopicService]; [GroupService]; [JoinRequestService]; [FriendService]; [CategoryService]; [FriendRequestService]; [PostService]. LCC (Lack of Component Cohesion) = 1.0
facebook-integration,com.example.facebook_integration.service.Implementations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PostServiceImpl]; [TopicServiceImpl]; [GroupServiceImpl]; [CategoryServiceImpl]; [FriendRequestServiceImpl]; [FriendServiceImpl]; [UserServiceImpl]; [JoinRequestServiceImpl]. LCC (Lack of Component Cohesion) = 1.0
facebook-integration,com.example.facebook_integration.service.Implementations,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.example.facebook_integration.model; com.example.facebook_integration.repository.
