Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
facebook-integration,com.example.facebook_integration,WebConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration,WebSocketConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration,FacebookIntegrationApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.IntegrationTests,PostControllerIntegrationTest,Feature Envy,The tool detected a instance of this smell because setup is more interested in members of the type: Post
facebook-integration,com.example.facebook_integration.IntegrationTests,PostControllerIntegrationTest,Feature Envy,The tool detected a instance of this smell because testGetAllPosts is more interested in members of the type: Post
facebook-integration,com.example.facebook_integration.IntegrationTests,PostControllerIntegrationTest,Feature Envy,The tool detected a instance of this smell because testCreatePost is more interested in members of the type: Post
facebook-integration,com.example.facebook_integration.IntegrationTests,CategoryControllerTest,Feature Envy,The tool detected a instance of this smell because setup is more interested in members of the type: CategoryOfDay
facebook-integration,com.example.facebook_integration.IntegrationTests,CategoryControllerTest,Feature Envy,The tool detected a instance of this smell because testGetAllCategories is more interested in members of the type: CategoryOfDay
facebook-integration,com.example.facebook_integration.IntegrationTests,CategoryControllerTest,Feature Envy,The tool detected a instance of this smell because testGetPostsByTopic is more interested in members of the type: CategoryOfDay
facebook-integration,com.example.facebook_integration.controller,AdminController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,JoinRequestController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,FriendController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,NotificationController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,FriendRequestController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,TopicController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,CategoryController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,PostController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,GroupController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.model,User,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; firstName; lastName; email; password; dateOfBirth; bio; profilePic; securityAnswer; is_active; role; status; sentRequests; receivedRequests; groups
facebook-integration,com.example.facebook_integration.model,User,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
facebook-integration,com.example.facebook_integration.model,User.Role,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
facebook-integration,com.example.facebook_integration.model,User.Role,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.model,User.Status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
facebook-integration,com.example.facebook_integration.model,User.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.exception,GlobalExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
facebook-integration,com.example.facebook_integration.exception,GlobalExceptionHandler.ErrorDetails,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: timestamp; message; details
facebook-integration,com.example.facebook_integration.exception,GlobalExceptionHandler.ErrorDetails,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
