Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User; com.example.facebook_integration.model.UserGroup
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.Post
facebook-integration,com.example.facebook_integration.UnitTests,TopicServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.Topic
facebook-integration,com.example.facebook_integration.UnitTests,CategoryServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.CategoryOfDay
facebook-integration,com.example.facebook_integration.UnitTests,FriendServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User; com.example.facebook_integration.model.Friend
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.FriendRequest
facebook-integration,com.example.facebook_integration.UnitTests,JoinRequestServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.UserGroup; com.example.facebook_integration.model.User; com.example.facebook_integration.model.JoinRequest
facebook-integration,com.example.facebook_integration.UnitTests,UserServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendReqControllerIntegrationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User; com.example.facebook_integration.model.FriendRequest
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendReqControllerIntegrationTest,Law of Demeter violation,The tool detected the smell in this method (testSendRequest) because the method voilates the law of Demeter. The long chain of method invocations is : com.example.facebook_integration.model.FriendRequest.getSender; com.example.facebook_integration.model.User.getId
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendReqControllerIntegrationTest,Law of Demeter violation,The tool detected the smell in this method (testSendRequest) because the method voilates the law of Demeter. The long chain of method invocations is : com.example.facebook_integration.model.User.getEmail; com.example.facebook_integration.model.FriendRequest.getReceiver
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendReqRepoIntegrationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User
facebook-integration,com.example.facebook_integration.IntegrationTests,PostControllerIntegrationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.Post
facebook-integration,com.example.facebook_integration.IntegrationTests,UserControllerIntegrationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User
facebook-integration,com.example.facebook_integration.IntegrationTests,JoinRequestControllerIntegrationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User; com.example.facebook_integration.model.UserGroup; com.example.facebook_integration.model.JoinRequest
facebook-integration,com.example.facebook_integration.IntegrationTests,CategoryControllerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.CategoryOfDay
facebook-integration,com.example.facebook_integration.IntegrationTests,UserRepositoryIntegrationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendControllerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.User; com.example.facebook_integration.model.Friend
facebook-integration,com.example.facebook_integration.controller,PostController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.Post
facebook-integration,com.example.facebook_integration.service.Implementations,FriendRequestServiceImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.FriendRequest
facebook-integration,com.example.facebook_integration.service.Implementations,FriendServiceImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.Friend
facebook-integration,com.example.facebook_integration.service.Implementations,JoinRequestServiceImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.facebook_integration.model.JoinRequest
